t,x,y,yaw,act_vx,act_wz,closest_i,cte,target_x,target_y,dist_target,dist_goal,desired_yaw,heading_err,heading_err_deg,cmd_vx,cmd_wz,wz_sat,at_goal
1789855249.3011,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855249.3531,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855249.4010,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855249.4508,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855249.5014,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855249.5519,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855249.6014,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855249.6509,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855249.7016,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855249.7547,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855249.8056,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855249.8539,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855249.9006,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855249.9515,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855250.0008,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
